"Date","Price","Open","High","Low","Vol.","Change %"
"23/12/2019","1,971.78","1,972.36","1,972.98","1,971.37","","0.08%"
"20/12/2019","1,970.16","1,971.18","1,971.58","1,970.16","","-0.05%"
"19/12/2019","1,971.09","1,971.10","1,971.15","1,971.09","","0.01%"
"18/12/2019","1,970.94","1,970.83","1,970.97","1,970.83","","0.01%"
"17/12/2019","1,970.65","1,970.43","1,970.70","1,970.39","","0.03%"
"16/12/2019","1,969.98","1,969.99","1,970.29","1,969.91","","0.12%"
"13/12/2019","1,967.66","1,965.35","1,968.33","1,964.69","","0.10%"
"12/12/2019","1,965.68","1,960.51","1,966.22","1,960.20","","0.24%"
"11/12/2019","1,960.90","1,958.91","1,961.32","1,958.24","","0.16%"
"10/12/2019","1,957.78","1,957.65","1,960.25","1,955.62","","0.01%"
"09/12/2019","1,957.60","1,959.66","1,960.89","1,957.60","","-0.10%"
"06/12/2019","1,959.56","1,958.48","1,960.32","1,957.85","","0.39%"
"05/12/2019","1,951.90","1,950.82","1,952.31","1,946.36","","0.16%"
"04/12/2019","1,948.78","1,946.30","1,951.34","1,945.42","","0.36%"
"03/12/2019","1,941.88","1,935.38","1,942.35","1,930.69","","-0.36%"
"02/12/2019","1,948.96","1,957.01","1,957.01","1,946.64","","-0.37%"
"29/11/2019","1,956.28","1,957.54","1,958.11","1,955.80","","-0.11%"
"27/11/2019","1,958.39","1,957.47","1,959.02","1,956.93","","0.13%"
"26/11/2019","1,955.93","1,954.57","1,956.59","1,953.96","","0.11%"
"25/11/2019","1,953.72","1,950.93","1,954.39","1,950.84","","0.41%"
"22/11/2019","1,945.70","1,946.08","1,946.78","1,941.99","","0.15%"
"21/11/2019","1,942.83","1,944.79","1,944.79","1,939.18","","-0.09%"
"20/11/2019","1,944.65","1,945.66","1,947.25","1,937.42","","-0.11%"
"19/11/2019","1,946.81","1,948.78","1,948.78","1,944.72","","-0.01%"
"18/11/2019","1,947.01","1,944.89","1,947.65","1,943.84","","0.06%"
"15/11/2019","1,945.75","1,943.91","1,945.75","1,943.40","","0.11%"
"14/11/2019","1,943.69","1,943.68","1,943.69","1,943.66","","0.01%"
"13/11/2019","1,943.51","1,943.48","1,943.53","1,943.45","","0.01%"
"12/11/2019","1,943.41","1,943.38","1,943.46","1,943.38","","0.01%"
"11/11/2019","1,943.23","1,943.02","1,943.28","1,943.02","","0.02%"
"08/11/2019","1,942.85","1,942.37","1,942.85","1,942.17","","0.03%"
"07/11/2019","1,942.27","1,942.28","1,942.54","1,942.15","","0.03%"
"06/11/2019","1,941.73","1,940.87","1,941.73","1,940.67","","0.05%"
"05/11/2019","1,940.80","1,940.51","1,941.04","1,940.21","","0.02%"
"04/11/2019","1,940.47","1,940.47","1,940.67","1,939.95","","0.08%"
"01/11/2019","1,938.94","1,937.44","1,938.94","1,937.18","","0.23%"
"31/10/2019","1,934.55","1,935.33","1,935.69","1,930.97","","-0.08%"
"30/10/2019","1,936.04","1,933.48","1,936.08","1,931.66","","0.15%"
"29/10/2019","1,933.05","1,932.73","1,934.58","1,932.47","","-0.02%"
"28/10/2019","1,933.44","1,933.11","1,933.96","1,932.95","","0.18%"
"25/10/2019","1,929.89","1,924.63","1,930.31","1,924.63","","0.22%"
"24/10/2019","1,925.63","1,925.89","1,926.31","1,921.96","","0.15%"
"23/10/2019","1,922.83","1,919.68","1,923.61","1,918.41","","0.18%"
"22/10/2019","1,919.39","1,924.03","1,925.01","1,918.70","","-0.13%"
"21/10/2019","1,921.95","1,919.58","1,922.34","1,918.21","","0.42%"
"18/10/2019","1,913.98","1,913.98","1,913.98","1,913.98","","-0.11%"
"17/10/2019","1,916.03","1,917.88","1,919.61","1,911.91","","0.29%"
"16/10/2019","1,910.56","1,908.61","1,913.76","1,906.98","","-0.04%"
"15/10/2019","1,911.33","1,902.41","1,914.24","1,901.96","","0.83%"
"14/10/2019","1,895.66","1,895.47","1,898.38","1,892.28","","0.11%"
"11/10/2019","1,893.58","1,893.52","1,903.42","1,891.12","","0.93%"
"10/10/2019","1,876.13","1,862.89","1,881.11","1,862.89","","0.63%"
"09/10/2019","1,864.39","1,861.49","1,870.85","1,857.71","","0.87%"
"08/10/2019","1,848.35","1,860.49","1,923.01","1,847.26","","-1.43%"
"07/10/2019","1,875.16","1,877.08","1,886.41","1,872.76","","-0.32%"
"04/10/2019","1,881.16","1,865.34","1,881.96","1,864.45","","1.28%"
"03/10/2019","1,857.41","1,840.15","1,858.79","1,823.92","","0.78%"
"02/10/2019","1,843.12","1,862.87","1,862.87","1,834.75","","-1.60%"
"01/10/2019","1,873.10","1,895.12","1,897.13","1,870.73","","-0.92%"
"30/09/2019","1,890.45","1,886.55","1,893.39","1,885.75","","0.51%"
"27/09/2019","1,880.95","1,892.78","1,892.78","1,872.67","","-0.38%"
"26/09/2019","1,888.17","1,890.06","1,891.85","1,881.55","","-0.12%"
"25/09/2019","1,890.50","1,882.67","1,891.94","1,875.06","","0.47%"
"24/09/2019","1,881.71","1,896.19","1,897.82","1,877.39","","-0.57%"
"23/09/2019","1,892.45","1,865.76","1,895.35","1,864.87","","0.15%"
"20/09/2019","1,889.59","1,866.79","1,889.59","1,866.79","","-0.43%"
"19/09/2019","1,897.74","1,897.75","1,897.89","1,897.67","","0.02%"
"18/09/2019","1,897.43","1,897.23","1,897.49","1,895.41","","0.01%"
"17/09/2019","1,897.18","1,896.99","1,897.18","1,896.94","","0.02%"
"16/09/2019","1,896.76","1,896.46","1,896.86","1,896.38","","0.02%"
"13/09/2019","1,896.30","1,896.30","1,896.55","1,896.02","","0.02%"
"12/09/2019","1,895.84","1,895.81","1,896.30","1,893.72","","0.03%"
"11/09/2019","1,895.35","1,893.92","1,895.47","1,893.79","","0.08%"
"10/09/2019","1,893.86","1,892.18","1,893.86","1,890.71","","0.04%"
"09/09/2019","1,893.07","1,893.40","1,893.50","1,891.56","","0.10%"
"06/09/2019","1,891.27","1,890.71","1,892.32","1,889.96","","0.08%"
"05/09/2019","1,889.79","1,887.36","1,890.52","1,887.36","","0.42%"
"04/09/2019","1,881.82","1,879.68","1,882.57","1,877.09","","0.54%"
"03/09/2019","1,871.77","1,869.83","1,873.74","1,865.60","","-0.10%"
"30/08/2019","1,873.58","1,878.21","1,878.67","1,870.66","","-0.01%"
"29/08/2019","1,873.68","1,872.30","1,875.55","1,868.13","","0.59%"
"28/08/2019","1,862.65","1,851.42","1,863.44","1,847.28","","0.44%"
"27/08/2019","1,854.41","1,863.41","1,865.67","1,850.37","","-0.19%"
"26/08/2019","1,857.96","1,853.95","1,859.60","1,847.28","","0.76%"
"23/08/2019","1,843.94","1,865.74","1,872.84","1,838.49","","-1.43%"
"22/08/2019","1,870.67","1,873.72","1,874.81","1,864.53","","-0.04%"
"21/08/2019","1,871.49","1,871.66","1,872.71","1,869.69","","0.44%"
"20/08/2019","1,863.22","1,867.36","1,869.52","1,861.84","","-0.31%"
"19/08/2019","1,869.00","1,867.62","1,870.35","1,865.16","","0.73%"
"16/08/2019","1,855.51","1,855.51","1,855.51","1,855.51","","0.98%"
"15/08/2019","1,837.49","1,842.17","1,844.98","1,824.92","","0.17%"
"14/08/2019","1,834.36","1,859.42","1,865.17","1,832.55","","-2.90%"
"13/08/2019","1,889.11","1,858.49","1,899.09","1,857.00","","1.48%"
"12/08/2019","1,861.50","1,874.90","1,877.19","1,855.33","","-1.16%"
"09/08/2019","1,883.28","1,889.54","1,893.00","1,871.33","","-0.59%"
"08/08/2019","1,894.39","1,870.10","1,895.62","1,866.97","","1.82%"
"07/08/2019","1,860.61","1,835.29","1,865.42","1,822.88","","0.10%"
"06/08/2019","1,858.84","1,850.25","1,860.29","1,837.00","","1.31%"
"05/08/2019","1,834.75","1,860.88","1,860.88","1,820.02","","-2.74%"
"02/08/2019","1,886.47","1,889.83","1,892.80","1,875.78","","-0.44%"
"01/08/2019","1,894.87","1,910.60","1,919.90","1,889.67","","-0.62%"
"31/07/2019","1,906.70","1,918.23","1,919.49","1,897.81","","-0.56%"
"30/07/2019","1,917.36","1,916.00","1,919.14","1,914.58","","-0.16%"
"29/07/2019","1,920.50","1,921.08","1,921.08","1,918.33","","0.00%"
"26/07/2019","1,920.51","1,917.47","1,921.06","1,917.37","","0.30%"
"25/07/2019","1,914.73","1,917.02","1,917.35","1,911.66","","-0.19%"
"24/07/2019","1,918.38","1,912.21","1,918.74","1,912.12","","0.21%"
"23/07/2019","1,914.45","1,911.22","1,914.58","1,908.60","","0.37%"
"22/07/2019","1,907.44","1,904.60","1,909.32","1,903.05","","0.27%"
